experiment_type,iteration,best_rmse,r2_score,model_path
pso_prediction_min_temperature,1,2.500287741333995,0.7048468534306878,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_1.pkl
ga_prediction_min_temperature,1,2.514909111448344,0.7062379801345102,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_1.pkl
pso_prediction_min_temperature,2,2.499763258223884,0.7065407840603546,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_2.pkl
ga_prediction_min_temperature,2,2.547001111446163,0.7051151023605977,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_2.pkl
pso_prediction_min_temperature,3,2.5392552827159394,0.6961818678846128,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_3.pkl
ga_prediction_min_temperature,3,2.587952052175587,0.6887293771186106,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_3.pkl
pso_prediction_min_temperature,4,2.501615738083004,0.7082414323445139,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_4.pkl
ga_prediction_min_temperature,4,2.4972971216725073,0.7089024885746702,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_4.pkl
pso_prediction_min_temperature,5,2.4996943465563386,0.7058096679222674,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_5.pkl
ga_prediction_min_temperature,5,2.524945724960304,0.7028664596444032,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_5.pkl
pso_prediction_min_temperature,6,2.5002642096686087,0.7036701604855282,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_6.pkl
ga_prediction_min_temperature,6,2.502190883666734,0.7038809931704406,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_6.pkl
pso_prediction_min_temperature,7,2.519748171984189,0.7020777709586671,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_7.pkl
ga_prediction_min_temperature,7,2.541680698158226,0.7011361028327108,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_7.pkl
pso_prediction_min_temperature,8,2.53494644679194,0.7002756170980693,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_8.pkl
ga_prediction_min_temperature,8,2.5441781733329534,0.7006229980769005,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_8.pkl
pso_prediction_min_temperature,9,2.5124854985657246,0.709605102115304,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_9.pkl
ga_prediction_min_temperature,9,2.5009458102101556,0.7057836500287079,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_9.pkl
pso_prediction_min_temperature,10,2.5341370814356896,0.7035352648825028,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_10.pkl
ga_prediction_min_temperature,10,2.531169693531188,0.6972508994200355,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_10.pkl
pso_prediction_min_temperature,11,2.5405134919740853,0.7003796897905441,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_11.pkl
ga_prediction_min_temperature,11,2.530254083941025,0.7020069436324576,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_11.pkl
pso_prediction_min_temperature,12,2.488531094849362,0.7072137713696982,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_12.pkl
ga_prediction_min_temperature,12,2.523035090689441,0.7021725127048559,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_12.pkl
pso_prediction_min_temperature,13,2.556634340930435,0.6971319763656116,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_13.pkl
ga_prediction_min_temperature,13,2.513770445146984,0.7019724774390955,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_13.pkl
pso_prediction_min_temperature,14,2.4996612088030057,0.7064967930492083,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_14.pkl
ga_prediction_min_temperature,14,2.520400489563018,0.7043909033750995,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_14.pkl
pso_prediction_min_temperature,15,2.530308258211431,0.701695228920566,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_15.pkl
ga_prediction_min_temperature,15,2.5035794874648425,0.7044764666585176,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_15.pkl
pso_prediction_min_temperature,16,2.515152285898091,0.70444981241246,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_16.pkl
ga_prediction_min_temperature,16,2.489433517091748,0.7065291687135804,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_16.pkl
pso_prediction_min_temperature,17,2.5345786175107787,0.7027203174419272,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_17.pkl
ga_prediction_min_temperature,17,2.5212901135757457,0.7060736272475533,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_17.pkl
pso_prediction_min_temperature,18,2.556857233585137,0.6993458511851061,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_18.pkl
ga_prediction_min_temperature,18,2.5218137310157647,0.7026824895221833,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_18.pkl
pso_prediction_min_temperature,19,2.592159835146208,0.6920117637712906,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_19.pkl
ga_prediction_min_temperature,19,2.5107236739462673,0.7027796704705709,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_19.pkl
pso_prediction_min_temperature,20,2.51846412021673,0.7070711193286017,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_pso_20.pkl
ga_prediction_min_temperature,20,2.516745011196248,0.701889481324722,/home/gabriel/Documents/git/natural-computing-tasks/outputs/prediction/models/model_ga_20.pkl
nn_baseline_prediction_max_temperature,1,2.2005711560431656,0.6043194028570198,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_1.pkl
nn_baseline_prediction_max_temperature,2,2.1834358913160905,0.5889878931858241,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_2.pkl
nn_baseline_prediction_max_temperature,3,2.1129622841766804,0.5722398906963075,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_3.pkl
nn_baseline_prediction_max_temperature,4,2.186809624036751,0.6124104336437892,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_4.pkl
nn_baseline_prediction_max_temperature,5,2.1662348387499053,0.625594691120708,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_5.pkl
nn_baseline_prediction_max_temperature,6,2.1194280011565776,0.6103374347764601,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_6.pkl
nn_baseline_prediction_max_temperature,7,2.158959317920113,0.6202805976052994,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_7.pkl
nn_baseline_prediction_max_temperature,8,2.1460386649121097,0.5979529999295146,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_8.pkl
nn_baseline_prediction_max_temperature,9,2.103017160844703,0.5960687661218007,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_9.pkl
nn_baseline_prediction_max_temperature,10,2.12040005717872,0.6285409347941985,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_10.pkl
nn_baseline_prediction_max_temperature,11,2.130872627863039,0.5976501198072082,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_11.pkl
nn_baseline_prediction_max_temperature,12,2.1891598614981946,0.611331481125508,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_12.pkl
nn_baseline_prediction_max_temperature,13,2.1423334878719453,0.591837205840521,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_13.pkl
nn_baseline_prediction_max_temperature,14,2.1194341079590355,0.5748100162628887,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_14.pkl
nn_baseline_prediction_max_temperature,15,2.138259910394977,0.5933506679448808,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_15.pkl
nn_baseline_prediction_max_temperature,16,2.1399282048842827,0.5871135126376115,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_16.pkl
nn_baseline_prediction_max_temperature,17,2.154942904477715,0.6284192123075694,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_17.pkl
nn_baseline_prediction_max_temperature,18,2.205672648498257,0.6054950017267487,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_18.pkl
nn_baseline_prediction_max_temperature,19,2.131213186685163,0.6010916551867079,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_19.pkl
nn_baseline_prediction_max_temperature,20,2.1106690490025417,0.6022235274289973,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_prediction/models/model_nn_20.pkl
nn_baseline_regression,1,0.1048464944973063,0.9958679005954628,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_1.pkl
nn_baseline_regression,2,0.10381131725046056,0.9959490924193851,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_2.pkl
nn_baseline_regression,3,0.09038327815171768,0.9969292878363738,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_3.pkl
nn_baseline_regression,4,0.10395988183412239,0.9959374895990372,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_4.pkl
nn_baseline_regression,5,0.09234054675566779,0.9967948540165618,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_5.pkl
nn_baseline_regression,6,0.09218150506045955,0.9968058852024454,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_6.pkl
nn_baseline_regression,7,0.08889161057214161,0.9970298082909341,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_7.pkl
nn_baseline_regression,8,0.0981650996774723,0.9963777605572642,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_8.pkl
nn_baseline_regression,9,0.09615486434242762,0.9965245947687776,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_9.pkl
nn_baseline_regression,10,0.10385333084226957,0.9959458128614026,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_10.pkl
nn_baseline_regression,11,0.10092094786929147,0.9961715271359534,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_11.pkl
nn_baseline_regression,12,0.10070222715761058,0.9961881036532563,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_12.pkl
nn_baseline_regression,13,0.10451516601123471,0.9958939752679269,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_13.pkl
nn_baseline_regression,14,0.09871644699960541,0.9963369574522055,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_14.pkl
nn_baseline_regression,15,0.10074760882364651,0.9961846672012323,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_15.pkl
nn_baseline_regression,16,0.10541464261190583,0.9958229967525318,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_16.pkl
nn_baseline_regression,17,0.10080649361309929,0.9961802059395289,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_17.pkl
nn_baseline_regression,18,0.09943404739198586,0.9962835083075923,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_18.pkl
nn_baseline_regression,19,0.10240411748569589,0.996058171094282,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_19.pkl
nn_baseline_regression,20,0.09189694414221046,0.9968255749946116,/home/gabriel/Documents/git/natural-computing-tasks/outputs/baseline_regression/models/model_nn_20.pkl
